"RUP_ID","MapScale","length_m","Rank","NODE_ID","Latitude","Longitude"
106,"1:62,500",879.006,"Distributed",7,40.2063082451727,-117.663546321011
106,"1:62,500",879.006,"Distributed",8,40.2062742803666,-117.664169009123
106,"1:62,500",879.006,"Distributed",9,40.2062063507544,-117.664553943592
106,"1:62,500",879.006,"Distributed",10,40.2059346323055,-117.664972842868
106,"1:62,500",879.006,"Distributed",11,40.2055610194382,-117.665323812531
106,"1:62,500",879.006,"Distributed",12,40.2052666577853,-117.665844606225
106,"1:62,500",879.006,"Distributed",13,40.2049949393364,-117.666388043123
106,"1:62,500",879.006,"Distributed",14,40.2047118992854,-117.666897515214
106,"1:62,500",879.006,"Distributed",15,40.2040892111734,-117.66754284653
106,"1:62,500",879.006,"Distributed",16,40.2036816335,-117.667893816193
107,"1:62,500",579.173,"Distributed",1,40.1963565569818,-117.669999634172
107,"1:62,500",579.173,"Distributed",2,40.197318893155,-117.669954347764
107,"1:62,500",579.173,"Distributed",3,40.1980095108793,-117.669909061356
107,"1:62,500",579.173,"Distributed",4,40.1985755909812,-117.669614699703
107,"1:62,500",579.173,"Distributed",5,40.1996964295829,-117.668856152367
107,"1:62,500",579.173,"Distributed",6,40.2007833033785,-117.668233464255
107,"1:62,500",579.173,"Distributed",7,40.20123616746,-117.667950424204
108,"1:62,500",531.848,"Distributed",1,40.1979981892772,-117.669909061356
108,"1:62,500",531.848,"Distributed",2,40.1983944453486,-117.669965669366
108,"1:62,500",531.848,"Distributed",3,40.1988133446239,-117.669965669366
108,"1:62,500",531.848,"Distributed",4,40.1994586759401,-117.669705272519
108,"1:62,500",531.848,"Distributed",5,40.1997190727869,-117.669569413295
108,"1:62,500",531.848,"Distributed",6,40.2012248458579,-117.669478840479
108,"1:62,500",531.848,"Distributed",7,40.2019607499903,-117.669309016448
108,"1:62,500",531.848,"Distributed",8,40.2026853325207,-117.669003333193
109,"1:62,500",286.93,"Principal",1,40.1956531170808,-117.710238957016
109,"1:62,500",286.93,"Principal",2,40.1935637560903,-117.712221717956
110,"1:62,500",202.53,"Distributed",1,40.1978000612416,-117.667203198469
110,"1:62,500",202.53,"Distributed",2,40.1994756583431,-117.6662635055
111,"1:62,500",283.832,"Principal",1,40.1687736370132,-117.726394728439
111,"1:62,500",283.832,"Principal",2,40.1682396732023,-117.726772952805
111,"1:62,500",283.832,"Principal",3,40.1677057093913,-117.727484904553
111,"1:62,500",283.832,"Principal",4,40.1673497335174,-117.727996619871
111,"1:62,500",283.832,"Principal",5,40.1670160061355,-117.728730820111
112,"1:62,500",313.346,"Principal",1,40.1663485513718,-117.731534130119
112,"1:62,500",313.346,"Principal",2,40.1647689084312,-117.73458217354
113,"1:62,500",611.495,"Distributed",1,40.2054308210148,-117.659600742701
113,"1:62,500",611.495,"Distributed",2,40.2039533519489,-117.660670634094
113,"1:62,500",611.495,"Distributed",3,40.2034268974542,-117.661010282155
113,"1:62,500",611.495,"Distributed",4,40.2026966541228,-117.661231053394
113,"1:62,500",611.495,"Distributed",5,40.2019833931944,-117.661451824634
113,"1:62,500",611.495,"Distributed",6,40.2014739211027,-117.661638631068
113,"1:62,500",611.495,"Distributed",7,40.2004210121133,-117.662436804011
114,"1:62,500",449.187,"Principal",1,40.1990114726596,-117.659396953864
114,"1:62,500",449.187,"Principal",2,40.1983321765374,-117.659957373165
114,"1:62,500",449.187,"Principal",3,40.1976019332059,-117.660534774869
114,"1:62,500",449.187,"Principal",4,40.1968716898745,-117.660857440527
114,"1:62,500",449.187,"Principal",5,40.1961923937523,-117.661061229364
114,"1:62,500",449.187,"Principal",6,40.1955470624361,-117.661129158976
114,"1:62,500",449.187,"Principal",7,40.1952753439872,-117.661146141379
115,"1:62,500",101.828,"Distributed",1,40.195818780885,-117.660449862854
115,"1:62,500",101.828,"Distributed",2,40.19490173112,-117.660449862854
116,"1:62,500",87.0429,"Distributed",1,40.1947488894925,-117.65965168991
116,"1:62,500",87.0429,"Distributed",2,40.1939676989519,-117.659566777895
117,"1:62,500",469.068,"Principal",1,40.1940865757733,-117.665459671755
117,"1:62,500",469.068,"Principal",2,40.1936280508908,-117.666172932684
117,"1:62,500",469.068,"Principal",3,40.1932374556205,-117.666835246403
117,"1:62,500",469.068,"Principal",4,40.1928128955441,-117.667803243377
117,"1:62,500",469.068,"Principal",5,40.1926600539166,-117.668516504306
117,"1:62,500",469.068,"Principal",6,40.192473247483,-117.668941064382
117,"1:62,500",469.068,"Principal",7,40.1922185114371,-117.669314677249
117,"1:62,500",469.068,"Principal",8,40.1919807577944,-117.669586395698
117,"1:62,500",469.068,"Principal",9,40.1916920569424,-117.669892078953
118,"1:62,500",184.115,"Distributed",1,40.190656130356,-117.672863999488
118,"1:62,500",184.115,"Distributed",2,40.1895522741573,-117.674477327778
119,"1:62,500",484.3,"Principal",1,40.1930307558377,-117.712669438169
119,"1:62,500",484.3,"Principal",2,40.1886814737758,-117.713095838371
120,"1:62,500",718.838,"Principal",1,40.1694040109567,-117.72162613496
120,"1:62,500",718.838,"Principal",2,40.1681135984136,-117.722590236286
120,"1:62,500",718.838,"Principal",3,40.167105000104,-117.72294621216
120,"1:62,500",718.838,"Principal",4,40.1666155332773,-117.723139032425
120,"1:62,500",718.838,"Principal",5,40.1659035815294,-117.723346685018
120,"1:62,500",718.838,"Principal",6,40.1654882763431,-117.723509840627
120,"1:62,500",718.838,"Principal",7,40.1651916297815,-117.72371749322
120,"1:62,500",718.838,"Principal",8,40.1647911569233,-117.723761990204
120,"1:62,500",718.838,"Principal",9,40.1641385344877,-117.723747157876
120,"1:62,500",718.838,"Principal",10,40.1636787323171,-117.723658163908
120,"1:62,500",718.838,"Principal",11,40.1632782594589,-117.723539505283
121,"1:62,500",116.265,"Distributed",1,40.1640940375034,-117.724622265233
121,"1:62,500",116.265,"Distributed",2,40.1631744331624,-117.723969642797
122,"1:62,500",151.188,"Distributed",1,40.1640050435349,-117.7251858937
122,"1:62,500",151.188,"Distributed",2,40.1626812582537,-117.725601198886
123,"1:62,500",95.1303,"Principal",1,40.1619693065057,-117.723910313485
123,"1:62,500",95.1303,"Principal",2,40.1611535284612,-117.724251457031
124,"1:62,500",135.227,"Principal",1,40.1608568818996,-117.724459109624
124,"1:62,500",135.227,"Principal",2,40.1603525827448,-117.724548103592
124,"1:62,500",135.227,"Principal",3,40.1596851279812,-117.724859582482
125,"1:62,500",256.279,"Distributed",1,40.161465007351,-117.725912677776
125,"1:62,500",256.279,"Distributed",2,40.1603525827448,-117.726357647618
125,"1:62,500",256.279,"Distributed",3,40.1593291521072,-117.727025102382
126,"1:62,500",184.37,"Distributed",1,40.1866527942232,-117.685424251077
126,"1:62,500",184.37,"Distributed",2,40.187365659166,-117.683468964377
127,"1:62,500",199.955,"Distributed",1,40.1798703934822,-117.687298067498
127,"1:62,500",199.955,"Distributed",2,40.1810517125302,-117.685526088926
128,"1:62,500",103.232,"Distributed",1,40.181560901775,-117.684955796972
128,"1:62,500",103.232,"Distributed",2,40.1821311937292,-117.683998521192
129,"1:62,500",77.2373,"Distributed",1,40.1826811181136,-117.683326391389
129,"1:62,500",77.2373,"Distributed",2,40.1830681019397,-117.682572791306
130,"1:62,500",296.646,"Distributed",1,40.1829458965209,-117.682083969631
130,"1:62,500",296.646,"Distributed",2,40.1842290534179,-117.679028834162
131,"1:62,500",120.349,"Distributed",1,40.1824367072761,-117.682043234492
131,"1:62,500",120.349,"Distributed",2,40.1830069992303,-117.680841547874
132,"1:62,500",367.503,"Distributed",1,40.1821108261594,-117.681289634409
132,"1:62,500",367.503,"Distributed",2,40.1841068479991,-117.677847515114
133,"1:62,500",407.474,"Principal",1,40.1587951882963,-117.725616031214
133,"1:62,500",407.474,"Principal",2,40.1583502184538,-117.725616031214
133,"1:62,500",407.474,"Principal",3,40.1580535718922,-117.725808851479
133,"1:62,500",407.474,"Principal",4,40.1577865899867,-117.726061001057
